ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	105.3248583036251	105.3248583036251	105.3248583036251	105.3248583036251
1	105.29273453520655	105.26911472456432	105.30877335321205	105.34843198185979
2	105.33247195857436	105.23629309612303	105.31231062933749	105.38459065047043
3	105.35128150849872	105.19848119894604	105.30022709585474	105.3989954603298
4	105.34152245024595	105.13677703291452	105.27623690889345	105.4077379325521
5	105.36508618026477	105.05536062464223	105.26786782122643	105.46724158643694
6	105.45062384050787	105.05118951659963	105.27947613085165	105.47927241393997
7	105.45802886135431	105.02861516494276	105.27463093012408	105.4958738963255
8	105.49748693080346	105.015170079781	105.29227424758989	105.54452019997227
9	105.52253150200188	104.99664992106693	105.29806322057367	105.57582645862917
