Iteration	BEGIN iteration	BEGIN replanning	END replanning	BEGIN dump all plans	END dump all plans	BEGIN mobsim	END mobsim	END iteration		replanning	dump all plans	mobsim	iteration
0	18:19:10			18:19:10	18:19:10	18:19:10	18:19:11	18:19:13			00:00:00	00:00:00	00:00:02
1	18:19:13	18:19:13	18:19:13	18:19:13	18:19:13	18:19:13	18:19:13	18:19:14		00:00:00	00:00:00	00:00:00	00:00:01
2	18:19:14	18:19:14	18:19:14	18:19:14	18:19:14	18:19:14	18:19:15	18:19:16		00:00:00	00:00:00	00:00:00	00:00:01
3	18:19:16	18:19:16	18:19:16	18:19:16	18:19:16	18:19:16	18:19:17	18:19:18		00:00:00	00:00:00	00:00:00	00:00:01
4	18:19:18	18:19:18	18:19:18	18:19:18	18:19:18	18:19:18	18:19:18	18:19:19		00:00:00	00:00:00	00:00:00	00:00:01
5	18:19:19	18:19:19	18:19:19	18:19:19	18:19:19	18:19:19	18:19:20	18:19:21		00:00:00	00:00:00	00:00:00	00:00:01
6	18:19:21	18:19:21	18:19:21	18:19:21	18:19:21	18:19:21	18:19:21	18:19:22		00:00:00	00:00:00	00:00:00	00:00:01
7	18:19:23	18:19:23	18:19:23	18:19:23	18:19:23	18:19:23	18:19:23	18:19:24		00:00:00	00:00:00	00:00:00	00:00:01
8	18:19:24	18:19:24	18:19:24	18:19:24	18:19:24	18:19:24	18:19:25	18:19:26		00:00:00	00:00:00	00:00:00	00:00:01
9	18:19:26	18:19:26	18:19:26	18:19:26	18:19:26	18:19:26	18:19:26	18:19:27		00:00:00	00:00:00	00:00:00	00:00:01
