ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	5048.770497932489	5048.770497932489	5048.770497932489	5048.770497932489
1	5054.896856633705	5056.078109884719	5051.833677283097	5047.922051569618
2	5050.411590877813	5058.7908346166605	5052.936659823501	5047.857062332275
3	5045.4031286324125	5060.187770883176	5050.360143268624	5040.394757831482
4	5040.742102562019	5060.418043551621	5050.548555946816	5040.5210080528495
5	5042.795367671183	5061.744290362904	5051.692240474419	5041.699729561664
6	5043.744648062011	5062.490291287003	5052.574710712737	5041.707642172618
7	5046.096452995797	5065.588260078238	5054.379293952934	5041.707642172618
8	5045.434346027797	5065.701953370472	5054.377841521136	5041.81098632454
9	5052.655717897603	5061.487969108247	5055.678109118811	5041.81098632454
