Id	xCoord	yCoord	Types
0	2369292.812	890012.7092	police
1	2369292.812	890012.7092	police
2	2370387.307	889944.5161	police
3	2371042.874	891329.1505	police
4	2368640.979	890271.5688	police
5	2371283.38	892507.4123	police
6	2369755.794	888529.7971	police
7	2367979.043	889937.4581	police 
8	2367967.057	889942.4515	police
9	2372938.905	890299.9451	hospital
10	2370855.899	889762.9693	hospital
11	2370167.283	890888.3188	hospital
12	2369952.441	890990.9387	hospital
13	2369695.201	890534.6895	hospital
14	2369354.798	889766.0739	hospital
15	2368530.963	889846.1415	hospital
16	2367655.039	890362.4457	hospital
17	2368029.306	891785.1401	hospital
18	2369843.962	890973.0695	hospital
19	2369292.48749	890580.85362	evacuation
20	2370372.562	890206.7816	 Fire Station
21	2369946.206	887431.3438	 Fire Station
22	2371113.49	893177.5669	 Fire Station
