x="730065.3125"	y="220415.9531"
x="731010.5"	y="220146.2969"
x="644902.625"	y="234228.0"
x="643402.0"	y="234966.0"
x="641180.0"	y="233040.7031"
x="731453.75"	y="219936.6875"
x="731715.75"	y="219880.8594"
x="732126.25"	y="219839.0938"
x="732362.1875"	y="219747.7031"
x="641915.125"	y="247079.5938"
x="732524.75"	y="219652.2344"
x="732671.625"	y="219607.7031"
x="732752.0"	y="219617.0938"
x="643177.0"	y="226142.7031"
x="641366.125"	y="241876.5938"
x="640461.1875"	y="241166.7969"
x="733701.0"	y="219344.9063"
x="732620.0"	y="219379.2969"
x="643117.875"	y="239439.7031"
x="732852.125"	y="219377.0938"
x="734018.875"	y="219275.0938"
x="642856.125"	y="255335.2031"
x="645652.1875"	y="231195.2969"
x="646947.125"	y="231936.7969"
x="648544.3125"	y="251647.2969"
x="649836.875"	y="254189.2031"
x="648534.5"	y="258674.0938"
x="735399.125"	y="219143.1875"
x="736448.875"	y="219146.75"
x="652527.0"	y="225493.4063"
x="647616.1875"	y="204722.7031"
x="647822.875"	y="204624.7031"
x="650664.3125"	y="202660.7969"
x="737739.625"	y="219174.125"
x="649595.5"	y="206065.7969"
x="650094.1875"	y="211396.5938"
x="650305.0"	y="211868.9063"
x="650288.3125"	y="210824.0"
x="650448.125"	y="212223.5938"
x="647424.5"	y="208976.7031"
x="649006.875"	y="214451.5938"
x="648949.5"	y="214661.0"
x="649011.875"	y="214783.2031"
x="648946.0"	y="215874.5"
x="738016.125"	y="219344.875"
x="648114.875"	y="216057.0938"
x="648125.875"	y="216060.0938"
x="652756.0"	y="212835.2031"
x="651335.625"	y="217082.7031"
x="651809.3125"	y="217614.7969"
x="652855.8125"	y="218348.9063"
x="653166.8125"	y="219397.2031"
x="649634.625"	y="218348.2969"
x="650621.8125"	y="219198.9063"
x="651612.0"	y="220630.7969"
x="738246.3125"	y="219481.9531"
x="650485.3125"	y="224051.7969"
x="650004.3125"	y="224688.2969"
x="649223.125"	y="221129.2969"
x="647455.0"	y="230373.7969"
x="647978.0"	y="227875.0938"
x="651303.125"	y="230798.2031"
x="652027.3125"	y="229052.9063"
x="652536.5"	y="229708.0938"
x="659109.625"	y="218926.4063"
x="660029.125"	y="218477.2969"
